Hotel name,Address,Price,Rating,Room Capacity,AC,Restaurant availabilty,Check in,Check out,Contact Number
The Madras Grand,Egmore,3528,4.9,1,Yes,Yes,12 PM,11 AM,093848 81777
The Madras Grand,Egmore,3752,4.9,2,Yes,Yes,12 PM,11 AM,093848 81777
The Madras Grand,Egmore,4312,4.9,3,Yes,Yes,12 PM,11 AM,093848 81777
The Park Chennai,Near US Consulate,4480,4.0,1,Yes,Yes,14 PM,12 PM,044 4267 6000
The Park Chennai,Near US Consulate,5040,4.0,2,Yes,Yes,14 PM,12 PM,044 4267 6000
The Residency Towers Chennai,T Nagar,5999,4.3,1,Yes,Yes,12 PM,12 PM,044 2815 6363
The Residency Towers Chennai,T Nagar,6749,4.3,2,Yes,Yes,12 PM,12 PM,044 2815 6363
Hilton Chennai,Guindy,7400,4.4,1,Yes,Yes,15 PM,12 PM,044 2225 5555
Hilton Chennai,Guindy,7000,4.4,2,Yes,Yes,15 PM,12 PM,044 2225 5555
Hilton Chennai,Guindy,8500,4.4,3,Yes,Yes,15 PM,12 PM,044 2225 5555
Courtyard by Marriott Chennai,Mount Road,5500,4.3,1,Yes,Yes,15 PM,12 PM,044 6676 4000
Courtyard by Marriott Chennai,Mount Road,6720,4.3,2,Yes,Yes,15 PM,12 PM,044 6676 4000
Novotel Chennai Chamiers Road,Nandanam,5399,4.6,1,Yes,Yes,14 PM,12 PM,044 2430 2333
Novotel Chennai Chamiers Road,Nandanam,5749,4.6,2,Yes,Yes,14 PM,12 PM,044 2430 2333
The Saibaba Hotel,T Nagar,2700,4.5,1,Yes,Yes,14 PM,12 PM,044 4256 4600
The Saibaba Hotel,T Nagar,3000,4.5,2,Yes,Yes,14 PM,12 PM,044 4256 4600
Taj Coromandel,T Nagar ,8280,4.5,1,Yes,Yes,2 PM,12 PM,044 6600 2827
Taj Coromandel,T Nagar,9180,4.5,2,Yes,Yes,2 PM,12 PM,044 6600 2827
Taj Coromandel,T Nagar,66915,4.5,3,Yes,Yes,2 PM,12 PM,044 6600 2827
ITC Grand Chola,Guindy,9500,4.4,1,Yes,Yes,15 PM,12 PM,044 2220 0000
ITC Grand Chola,Guindy,10500,4.4,2,Yes,Yes,15 PM,12 PM,044 2220 0000
ITC Grand Chola,Guindy,15000,4.4,3,Yes,Yes,15 PM,12 PM,044 2220 0000
ITC Grand Chola,Guindy,21000,4.4,4,Yes,Yes,15 PM,12 PM,044 2220 0000
ITC Grand Chola,Guindy,23500,4.4,5,Yes,Yes,15 PM,12 PM,044 2220 0000
Taj Club House,Royapettah,5210,4.2,1,Yes,Yes,2 PM,12 PM,044 6631 3131
Taj Club House,Royapettah,5510,4.2,2,Yes,Yes,2 PM,12 PM,044 6631 3131
Hyatt Regency Chennai,Teyampet,5999,4.3,1,Yes,Yes,2 PM,12 PM,044 6100 1234
Hyatt Regency Chennai,Teyampet,6299,4.3,2,Yes,Yes,2 PM,12 PM,044 6100 1234
Hyatt Regency Chennai,Teyampet,13598,4.3,3,Yes,Yes,2 PM,12 PM,044 6100 1234
Radisson Blu Hotel Chennai City,Egmore,4724,4.4,1,Yes,Yes,15 PM,12 PM,044 2231 0101
Radisson Blu Hotel Chennai City,Egmore,5174,4.4,2,Yes,Yes,15 PM,12 PM,044 2231 0101
Radisson Blu Hotel Chennai City,Egmore,6524,4.4,3,Yes,Yes,15 PM,12 PM,044 2231 0101
Crowne Plaza Chennai Adyar Park,Alwarpet,6250,4.4,1,Yes,Yes,15 PM,12 PM,044 2499 4101
Crowne Plaza Chennai Adyar Park,Alwarpet,6500,4.4,2,Yes,Yes,15 PM,12 PM,044 2499 4101
Crowne Plaza Chennai Adyar Park,Alwarpet,6750,4.4,3,Yes,Yes,15 PM,12 PM,044 2499 4101
Le Royal Meridien,Mount Road,21675,3.8,1,Yes,Yes,14 PM,12 PM,044 2231 4343
Le Royal Meridien,Mount Road,21675,3.8,2,Yes,Yes,14 PM,12 PM,044 2231 4343
Le Royal Meridien,Mount Road,21675,3.8,3,Yes,Yes,14 PM,12 PM,044 2231 4343
Hotel Pearl International,Poongavanapuram,1119,4.0,1,Yes,Yes,12 PM,12 PM,044 2561 5959
Hotel Pearl International,Poongavanapuram,1231,4.0,2,Yes,Yes,12 PM,12 PM,044 2561 5959
Hotel Pearl International,Poongavanapuram,1627,4.0,3,Yes,Yes,12 PM,12 PM,044 2561 5959
Arunachala Inn,Periyamet,672,4.3,1,Yes,No,12 PM,12 PM,080 3007 7175
Arunachala Inn,Periyamet,982,4.3,2,Yes,No,12 PM,12 PM,080 3007 7175
Arunachala Inn,Periyamet,1382,4.3,3,Yes,No,12 PM,12 PM,080 3007 7175
Vivanta Chennai IT Expressway,Sholinganallur,6749,4.2,1,Yes,Yes,14 PM,12 PM,044 6680 2500
Vivanta Chennai IT Expressway,Sholinganallur,6749,4.2,2,Yes,Yes,14 PM,12 PM,044 6680 2500
Vivanta Chennai IT Expressway,Sholinganallur,8099,4.2,3,Yes,Yes,14 PM,12 PM,044 6680 2500
Hotel Savera,Mylapore,4545,4.1,1,Yes,Yes,12 PM,12 PM,044 2811 4700
Hotel Savera,Mylapore,4923,4.1,2,Yes,Yes,12 PM,12 PM,044 2811 4700
Hotel Savera,Mylapore,5764,4.1,3,Yes,Yes,12 PM,12 PM,044 2811 4700
