Hotel name,Address,Price,Rating,Room Capacity,AC,Restaurant availabilty,Check in,Check out,Contact Number
Dragonfly Hotel,Near Mumbai Airport,4547,3.9,1,Yes,Yes,14 PM,11 AM,098202 86719
Dragonfly Hotel,Near Mumbai Airport,4547,3.9,2,Yes,Yes,14 PM,11 AM,098202 86719
Dragonfly Hotel,Near Mumbai Airport,5037,3.9,3,Yes,Yes,14 PM,11 AM,098202 86719
Hotel Kumkum,Grant Road,1805,4.2,1,Yes,Yes,11 AM,09 AM,075060 38989
Hotel Kumkum,Grant Road,1805,4.2,2,Yes,Yes,11 AM,09 AM,075060 38989
Hotel Kumkum,Grant Road,2136,4.2,3,Yes,Yes,11 AM,09 AM,075060 38989
Apex Home,Borivali East,515,4.4,1,No,No,09 AM,09 AM,098338 59429
Hotel Broadway Colaba,South Mumbai,2090,4.0,2,Yes,No,12 PM,12 PM,098198 39355
Hotel Broadway Colaba,South Mumbai,1792,4.0,1,Yes,No,12 PM,12 PM,098198 39355
Hotel Broadway Colaba,South Mumbai,2389,4.0,3,Yes,No,12 PM,12 PM,098198 39355
Hotel Broadway Colaba,South Mumbai,2747,4.0,4,Yes,No,12 PM,12 PM,098198 39355
The Westin Mumbai Garden City,Goregaon,24700,4.3,1,Yes,Yes,15 PM,12 PM,022 6147 0000
The Westin Mumbai Garden City,Goregaon,24700,4.3,2,Yes,Yes,15 PM,12 PM,022 6147 0000
The Westin Mumbai Garden City,Goregaon,24700,4.3,3,Yes,Yes,15 PM,12 PM,022 6147 0000
Hotel Avon Ruby,South Mumbai,2985,3.8,1,Yes,Yes,13 PM,12 PM,022 4213 3600
Hotel Avon Ruby,South Mumbai,3283,3.8,2,Yes,Yes,13 PM,12 PM,022 4213 3600
Hotel Avon Ruby,South Mumbai,4177,3.8,3,Yes,Yes,13 PM,12 PM,022 4213 3600
Hotel Kohinoor Park,South Mumbai,3532,3.9,1,Yes,Yes,14 PM,11 AM,086910 30949
Hotel Kohinoor Park,South Mumbai,3696,3.9,2,Yes,Yes,14 PM,11 AM,086910 30949
Hotel Kohinoor Park,South Mumbai,3696,3.9,3,Yes,Yes,14 PM,11 AM,086910 30949
J ESVI HOTELS,Jogeshwari West,1985,4.1,1,Yes,No,12 PM,11 AM,076780 63459
J ESVI HOTELS,Jogeshwari West,2113,4.1,2,Yes,No,12 PM,11 AM,076780 63459
J ESVI HOTELS,Jogeshwari West,2825,4.1,3,Yes,No,12 PM,11 AM,076780 63459
ITC Grand Central,Near Mumbai Airport,10000,4.5,1,Yes,Yes,15 PM,12 PM,022 2410 1010
ITC Grand Central,Near Mumbai Airport,10500,4.5,2,Yes,Yes,15 PM,12 PM,022 2410 1010
ITC Grand Central,Near Mumbai Airport,14500,4.5,3,Yes,Yes,15 PM,12 PM,022 2410 1010
Hotel Peninsula Redpine,Near Mumbai Airport,4834,4.0,1,Yes,Yes,15 PM,12 PM,022 4091 2345
Hotel Peninsula Redpine,Near Mumbai Airport,4834,4.0,2,Yes,Yes,14 PM,12 PM,022 4091 2345
Hotel Peninsula Redpine,Near Mumbai Airport,5729,4.0,3,Yes,Yes,14 PM,12 PM,022 4091 2345
Hotel Golden Palms,Jogeshwari West,1533,4.3,1,Yes,Yes,12 PM,11 AM,082915 30923
