Hotel name,Address,Price,Rating,Room Capacity,AC,Restaurant availabilty,Check in,Check out,Contact Number
Vinayak Guest House,Salt Lake City,1020,4.3,1,Yes,Yes,12 PM,11 AM,096749 89678
Vinayak Guest House,Salt Lake City,1184,4.3,2,Yes,Yes,12 PM,11 AM,096749 89678
Vinayak Guest House,Salt Lake City,1347,4.3,3,Yes,Yes,12 PM,11 AM,096749 89678
Regenta Orko Kolkata,Kasba,2134,3.9,1,Yes,Yes,13 PM,11 AM,033 7125 9999
Regenta Orko Kolkata,Kasba,2134,3.9,2,Yes,Yes,13 PM,11 AM,033 7125 9999
Regenta Orko Kolkata,Kasba,3030,3.9,3,Yes,Yes,13 PM,11 AM,033 7125 9999
Hotel Royal Castle,Taltala,1121,4.4,1,Yes,No,12 PM,11 AM,-
Hotel Royal Castle,Taltala,1345,4.4,2,Yes,No,12 PM,11 AM,-
Hotel Royal Castle,Taltala,1675,4.4,3,Yes,No,12 PM,11 AM,-
Moments,Mukundapur,1203,4.1,1,Yes,Yes,12 PM,11 AM,033 2426 0323
Moments,Mukundapur,1353,4.1,2,Yes,Yes,12 PM,11 AM,033 2426 0323
Moments,Mukundapur,1831,4.1,3,Yes,Yes,12 PM,11 AM,033 2426 0323
JW Marriott Hotel Kolkata,Tangra,8500,4.5,1,Yes,Yes,3 PM,12 PM,033 6633 0000
JW Marriott Hotel Kolkata,Tangra,8500,4.5,2,Yes,Yes,3 PM,12 PM,033 6633 0000
JW Marriott Hotel Kolkata,Tangra,8500,4.5,3,Yes,Yes,3 PM,12 PM,033 6633 0000
Hotel Aloka Residency,East Kolkata Township,1108,4.6,1,Yes,No,12 PM,11 AM,094772 81382
Hotel Aloka Residency,East Kolkata Township,1173,4.6,2,Yes,No,12 PM,11 AM,094772 81382
Hotel Aloka Residency,East Kolkata Township,1498,4.6,3,Yes,No,12 PM,11 AM,094772 81382
Astana Inn,Salt Lake City,862,4.3,1,Yes,No,12 PM,11 AM,098300 86351
Astana Inn,Salt Lake City,978,4.3,2,Yes,No,12 PM,11 AM,098300 86351
Crossroads,Salt Lake City,1188,4.8,1,Yes,No,12 PM,12 PM,-
Crossroads,Salt Lake City,1319,4.8,2,Yes,No,12 PM,12 PM,-
Crossroads,Salt Lake City,2478,4.8,2+1,Yes,No,12 PM,12 PM,-
Victoria Hotel,Chinar Park,2662,4.2,1,Yes,No,13 PM,11 AM,084200 47214
Victoria Hotel,Chinar Park,2662,4.2,2,Yes,Yes,13 PM,11 AM,084200 47214
Victoria Hotel,Chinar Park,3734,4.2,3,Yes,Yes,13 PM,11 AM,084200 47214
Ethnotel,Dum Dum,2501,4.2,1,Yes,Yes,13 PM,12 PM,033 7101 7000
Ethnotel,Dum Dum,2501,4.2,2,Yes,Yes,13 PM,12 PM,033 7101 7000
Ethnotel,Dum Dum,3258,4.2,3,Yes,Yes,13 PM,12 PM,033 7101 7000
Gallery 67,Ghose Bagan,2915,4.3,1,Yes,Yes,12 PM,11 AM,099032 49646
Gallery 67,Ghose,3118,4.3,2,Yes,Yes,12 PM,11 AM,099032 49646
Gallery 67,Ghose Bagan,3797,4.3,3,Yes,Yes,12 PM,11 AM,099032 49646
Viceroy Kolkata,Chinar Park,2597,4.0,1,Yes,Yes,12 PM,11 AM,098310 79293
Viceroy Kolkata,Chinar Park,2597,4.0,2,Yes,Yes,12 PM,11 AM,098310 79293
Viceroy Kolkata,Chinar Park,3361,4.0,3,Yes,Yes,12 PM,11 AM,098310 79293
ibis Kolkata Rajarhat,New Town,3299,4.1,1,Yes,Yes,14 PM,12 PM,033 6134 1200
ibis Kolkata Rajarhat,New Town,3299,4.1,2,Yes,Yes,14 PM,12 PM,033 6134 1200
Monotel Luxury Business Hotel,Salt Lake City,4106,4.2,1,Yes,Yes,12 PM,11 AM,033 4030 2000
Monotel Luxury Business Hotel,Salt Lake City,4706,4.2,2,Yes,Yes,12 PM,11 AM,033 4030 2000
Monotel Luxury Business Hotel,Salt Lake City,5293,4.2,3,Yes,Yes,12 PM,11 AM,033 4030 2000
Howard Johnson by Wyndham,Chinar Park,2595,4.1,1,Yes,Yes,14 PM,12 PM,033 6655 7000
Howard Johnson by Wyndham,Chinar Park,3022,4.1,2,Yes,Yes,14 PM,12 PM,033 6655 7000
Howard Johnson by Wyndham,Chinar Park,4026,4.1,3,Yes,Yes,14 PM,12 PM,033 6655 7000
The Lindsay,Esplanade,3227,3.6,1,Yes,Yes,12 PM,11 AM,033 7199 8666
The Lindsay,Esplanade,3227,3.6,2,Yes,Yes,12 PM,11 AM,033 7199 8666
The Lindsay,Esplanade,5049,3.6,3,Yes,Yes,12 PM,11 AM,033 7199 8666
OYO Townhouse 095 Akash Ganga Park Circus,Park Circus,1266,3.5,1,No,Yes,12 PM,11 AM,0124 620 1612
OYO Townhouse 095 Akash Ganga Park Circus,Park Circus,1929,3.5,2,No,Yes,12 PM,11 AM,0124 620 1612
OYO Townhouse 095 Akash Ganga Park Circus,Park Circus,2245,3.5,3,No,Yes,12 PM,11 AM,0124 620 1612
Zone By the Park,New Town,4017,3.7,1,No,Yes,14 PM,12 PM,033 2324 6300
Zone By The Park,New Town,4017,3.7,2,Yes,Yes,14 PM,12 PM,033 2324 6300
